               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091977,            0.030115,                   0,           0.0093371,             0.85802,            0.032925,            0.008568,            0.061396,            0.026647,                   0,           0.0032927,           0.0032927,            0.070366
                   1,            0.062027,            0.026622,                   0,             0.20579,             0.25309,             0.15997,            0.068576,            0.049663,            0.024332,                   0,           0.0065604,           0.0065604,              0.0403
                   2,            0.054028,            0.022658,                   0,             0.41532,             0.29321,              0.2806,            0.082024,            0.056823,            0.019795,                   0,           0.0097622,           0.0097622,            0.010169
                   3,            0.048265,            0.019129,                   0,             0.47936,             0.35805,             0.37217,             0.17641,            0.042694,            0.022489,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.042946,             0.01774,                   0,             0.56049,             0.54938,             0.49808,             0.23104,            0.040439,            0.019253,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.03915,            0.016064,                   0,             0.62585,             0.53395,             0.58157,             0.29185,            0.038828,            0.019104,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.038323,            0.015744,                   0,             0.59321,              0.5311,             0.57569,             0.28941,            0.037503,            0.017839,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.037792,            0.014662,                   0,             0.75494,             0.57099,              0.6558,             0.34203,            0.036883,            0.018377,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.036576,            0.013953,                   0,             0.63558,             0.49524,             0.55806,             0.28502,             0.03679,            0.021819,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.035463,            0.013187,                   0,             0.63266,             0.57409,             0.62392,             0.30674,            0.037636,            0.019244,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.034841,            0.013373,                   0,             0.73294,             0.71296,             0.74136,             0.37601,            0.036282,            0.015277,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.035227,            0.013501,                   0,             0.54923,              0.5216,             0.50109,             0.25735,            0.038422,             0.02189,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.033098,            0.012815,                   0,             0.70858,             0.61728,             0.67472,             0.35453,            0.036855,            0.017123,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.032969,            0.013007,                   0,             0.69216,             0.58951,             0.66923,             0.34556,            0.036137,            0.019332,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.032396,            0.012282,                   0,             0.67599,             0.57309,             0.60774,             0.31408,            0.036968,            0.019733,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.031653,            0.012539,                   0,             0.68897,             0.54321,             0.59367,             0.30071,             0.03734,            0.019505,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.031452,            0.011787,                   0,             0.69426,             0.64506,             0.69721,             0.34125,            0.037059,            0.017419,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.031655,            0.011997,                   0,             0.78251,             0.65517,             0.73667,             0.34942,              0.0387,            0.015709,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.031135,            0.011868,                   0,             0.80077,             0.58951,             0.70559,             0.35863,            0.037235,            0.020143,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.030848,            0.012015,                   0,             0.68884,             0.68519,             0.71744,             0.37078,            0.036654,            0.016896,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.030615,            0.011491,                   0,             0.83082,             0.58642,             0.72449,             0.37705,            0.035732,            0.018617,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.029759,            0.011194,                   0,             0.75306,             0.64005,             0.69756,             0.35695,            0.038422,             0.01717,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.029203,            0.011154,                   0,              0.6724,             0.72222,             0.71255,              0.3558,            0.037975,            0.016439,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.029171,            0.011307,                   0,             0.76593,             0.68827,             0.74354,             0.38885,            0.036986,            0.017567,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.029162,            0.011488,                   0,             0.81108,             0.61111,             0.70379,             0.35202,            0.037811,            0.019429,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.029269,            0.010951,                   0,             0.80046,             0.69552,             0.75959,             0.39479,            0.036735,            0.017405,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.028025,            0.011136,                   0,             0.82806,             0.63975,             0.73186,             0.38403,             0.03683,            0.018632,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.028783,            0.010898,                   0,             0.81909,             0.66873,             0.73078,             0.39037,             0.03649,            0.017359,                   0,            0.007426,            0.007426,            0.007426
