               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09208,            0.030083,                   0,            0.016725,             0.67593,            0.032744,           0.0094096,            0.060748,            0.026858,                   0,           0.0032927,           0.0032927,            0.070366
                   1,            0.062153,            0.026592,                   0,             0.16218,             0.21605,             0.12668,            0.040867,             0.05203,            0.023166,                   0,           0.0065932,           0.0065932,            0.040333
                   2,            0.053817,            0.022713,                   0,             0.21764,             0.27778,             0.17115,            0.048788,            0.053838,            0.020601,                   0,           0.0098608,           0.0098608,            0.010267
                   3,             0.04897,            0.019109,                   0,              0.4752,             0.43827,             0.41949,             0.18907,            0.042287,            0.019534,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.042831,            0.017528,                   0,             0.56872,             0.67593,             0.62571,             0.29032,            0.038289,            0.016316,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.039786,            0.016023,                   0,              0.5953,             0.33642,             0.44283,              0.2228,            0.043527,            0.027117,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.038749,            0.015879,                   0,             0.67574,             0.59817,             0.66328,             0.31226,            0.036824,            0.016632,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.037075,             0.01462,                   0,             0.68441,             0.58333,             0.63345,              0.2996,             0.04034,            0.018036,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.036267,            0.013931,                   0,             0.74988,             0.55521,             0.63891,             0.32232,            0.037696,            0.021033,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.03582,            0.013315,                   0,               0.671,             0.58542,             0.65255,              0.3343,            0.036512,            0.017804,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.034513,            0.013419,                   0,             0.72799,             0.61728,             0.70141,             0.36672,             0.03597,            0.017791,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.035486,             0.01355,                   0,             0.69847,              0.4676,             0.55257,             0.29206,            0.039566,            0.025134,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.033916,            0.012902,                   0,             0.68568,             0.62346,             0.65563,             0.33771,            0.037256,            0.019182,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.033183,            0.013143,                   0,             0.73309,             0.63272,             0.72773,             0.38643,            0.035417,            0.017326,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.032725,            0.012323,                   0,             0.66018,             0.69554,             0.69678,             0.35414,            0.037389,            0.017374,                   0,           0.0093565,           0.0093565,           0.0093565
