               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091862,            0.030352,                   0,            0.026684,             0.30247,            0.024613,           0.0070601,            0.064711,            0.026332,                   0,           0.0032927,           0.0032927,            0.070366
                   1,            0.060959,            0.026625,                   0,             0.15801,             0.37654,             0.16239,            0.061449,            0.051647,            0.022434,                   0,           0.0066195,           0.0066195,            0.040359
                   2,            0.056252,            0.023238,                   0,             0.28863,             0.12346,             0.13057,            0.037808,            0.065451,            0.018002,                   0,           0.0099396,           0.0099396,            0.010346
                   3,            0.049813,            0.019975,                   0,             0.59755,             0.54535,              0.5367,             0.24295,            0.042873,             0.01869,                   0,           0.0099703,           0.0099703,           0.0099703
                   4,             0.04347,            0.017423,                   0,             0.58406,             0.41358,             0.48053,             0.19029,             0.04516,            0.018899,                   0,           0.0099703,           0.0099703,           0.0099703
                   5,            0.040684,            0.016558,                   0,             0.65644,             0.47177,             0.55637,             0.25708,            0.038998,            0.019657,                   0,           0.0099604,           0.0099604,           0.0099604
                   6,            0.039425,            0.015439,                   0,             0.69444,              0.5401,             0.58996,              0.2972,            0.037455,            0.019564,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,            0.037037,            0.015193,                   0,             0.69617,             0.66477,              0.6716,             0.33071,            0.037024,            0.017158,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,             0.03582,             0.01424,                   0,             0.66022,             0.61172,             0.67913,              0.3486,            0.037765,            0.015422,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,            0.035441,            0.014062,                   0,             0.66769,              0.5216,             0.60843,             0.30112,            0.041645,            0.019182,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,            0.035408,            0.013625,                   0,             0.77351,             0.57973,              0.6681,              0.3333,            0.037456,            0.018297,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,            0.033922,            0.013165,                   0,             0.70358,             0.62654,             0.64982,             0.33953,            0.036973,             0.02075,                   0,            0.009901,            0.009901,            0.009901
                  12,            0.035267,             0.01318,                   0,             0.80136,             0.63503,             0.70171,             0.36755,             0.03749,            0.017831,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,            0.032737,            0.013019,                   0,             0.75627,             0.58951,             0.69596,             0.35626,            0.035488,            0.016235,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,            0.032995,            0.012447,                   0,             0.72784,             0.66857,             0.70504,             0.34209,            0.037098,            0.016515,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,            0.032969,            0.012322,                   0,             0.71818,             0.66667,             0.67655,             0.34855,            0.036152,            0.018343,                   0,           0.0098614,           0.0098614,           0.0098614
